;F;BPR;YPR;BPR_eq;YPR_eq;pB0;pB0eq
1;0.000;158.350.722;0.000;1.583.507.217;0.0000;100.000.000;1.000.000.000
2;0.033;133.495.573;4.742.603;1.296.292.165;46.052.460;0.84303735;0.818620940
3;0.066;114.027.943;8.177.331;1.071.332.883;76.828.922;0.72009740;0.676556994
4;0.099;98.515.111;10.699.125;892.073.493;96.882.657;0.62213238;0.563352970
5;0.132;85.966.633;12.571.514;747.068.863;109.249.207;0.54288754;0.471781155
6;0.165;75.680.689;13.974.386;628.209.067;115.998.360;0.47793082;0.396720053
7;0.198;67.149.298;15.032.956;529.624.100;118.568.860;0.42405426;0.334462701
8;0.231;59.997.899;15.835.881;446.985.715;117.977.673;0.37889249;0.282275768
9;0.264;53.945.749;16.446.886;377.049.755;114.954.270;0.34067258;0.238110538
10;0.297;48.779.318;16.912.395;317.348.773;110.028.760;0.30804607;0.200408795
11;0.330;44.334.043;17.266.644;265.981.150;103.590.865;0.27997373;0.167969648
12;0.363;40.481.569;17.535.157;221.463.673;95.930.082;0.25564499;0.139856435
13;0.396;37.120.680;17.737.156;182.626.731;87.263.455;0.23442065;0.115330533
14;0.429;34.170.751;17.887.251;148.538.671;77.755.050;0.21579157;0.093803596
15;0.462;31.566.963;17.996.641;118.450.453;67.529.786;0.19934840;0.074802597
16;0.495;29.256.749;18.073.975;91.754.642;56.683.370;0.18475918;0.057943937
17;0.528;27.197.136;18.125.983;67.954.671;45.289.519;0.17175252;0.042914027
18;0.561;25.352.732;18.157.932;46.641.556;33.405.245;0.16010493;0.029454590
19;0.594;23.694.182;18.173.973;27.476.088;21.074.781;0.14963103;0.017351413
20;0.627;22.196.979;18.177.391;10.175.077;8.332.501;0.14017605;0.006425659
21;0.660;20.840.537;18.170.802;-5.499.357;-4.794.872;0.13160999;-0.003472896
22;0.693;19.607.465;18.156.294;-19.748.191;-18.286.604;0.12382302;-0.012471172
23;0.726;18.482.988;18.135.545;-32.742.152;-32.126.666;0.11672184;-0.020676983
24;0.759;17.454.490;18.109.904;-44.627.016;-46.302.757;0.11022678;-0.028182389
25;0.792;16.511.148;18.080.462;-55.527.859;-60.805.544;0.10426948;-0.035066376
26;0.825;15.643.632;18.048.098;-65.552.488;-75.628.074;0.09879104;-0.041397025
27;0.858;14.843.866;18.013.529;-74.794.230;-90.765.306;0.09374044;-0.047233274
28;0.891;14.104.829;17.977.334;-83.334.207;-106.213.752;0.08907335;-0.052626351
29;0.924;13.420.396;17.939.984;-91.243.209;-121.971.187;0.08475109;-0.057620962
30;0.957;12.785.201;17.901.861;-98.583.239;-138.036.423;0.08073977;-0.062256261
31;0.990;12.194.529;17.863.278;-105.408.791;-154.409.124;0.07700962;-0.066566663
32;1.023;11.644.219;17.824.484;-111.767.924;-171.089.662;0.07353436;-0.070582516
33;1.056;11.130.594;17.785.683;-117.703.153;-188.079.002;0.07029077;-0.074330670
34;1.089;10.650.387;17.747.039;-123.252.204;-205.378.601;0.06725822;-0.077834949
35;1.122;10.200.695;17.708.682;-128.448.651;-222.990.340;0.06441837;-0.081116555
36;1.155;9.778.923;17.670.718;-133.322.453;-240.916.455;0.06175484;-0.084194408
37;1.188;9.382.753;17.633.229;-137.900.417;-259.159.490;0.05925299;-0.087085436
38;1.221;9.010.104;17.596.277;-142.206.586;-277.722.255;0.05689967;-0.089804824
39;1.254;8.659.105;17.559.911;-146.262.580;-296.607.794;0.05468308;-0.092366222
40;1.287;8.328.069;17.524.169;-150.087.880;-315.819.351;0.05259256;-0.094781936
41;1.320;8.015.474;17.489.075;-153.700.085;-335.360.356;0.05061849;-0.097063078
42;1.353;7.719.942;17.454.648;-157.115.122;-355.234.400;0.04875218;-0.099219707
43;1.386;7.440.223;17.420.897;-160.347.436;-375.445.220;0.04698572;-0.101260944
44;1.419;7.175.180;17.387.827;-163.410.154;-395.996.686;0.04531195;-0.103195080
45;1.452;6.923.779;17.355.439;-166.315.228;-416.892.794;0.04372433;-0.105029662
46;1.485;6.685.078;17.323.728;-169.073.557;-438.137.650;0.04221691;-0.106771574
47;1.518;6.458.213;17.292.687;-171.695.102;-459.735.466;0.04078424;-0.108427104
48;1.551;6.242.397;17.262.308;-174.188.978;-481.690.553;0.03942134;-0.110002011
49;1.584;6.036.906;17.232.578;-176.563.539;-504.007.315;0.03812364;-0.111501569
50;1.617;5.841.077;17.203.485;-178.826.456;-526.690.242;0.03688696;-0.112930623
51;1.650;5.654.299;17.175.014;-180.984.784;-549.743.907;0.03570744;-0.114293628
