"Año","Desembarques","CPUErel","B.Acustica"
1993,2,0,0
1994,90,0,0
1995,4410,0,0
1996,89,0,0
1997,83,0,0
1998,7738,0.95,0
1999,6777,1.22,0
2000,7150,0.86,0
2001,8913,1.05,0
2002,9397,0.97,0
2003,42723,1.18,0
2004,31645,0.82,0
2005,29126,0.78,39741
2006,20936,0.63,69036
2007,18226,0.56,54030
2008,16751,0.27,39570
2009,14171,0.39,33733
2010,12624,0.27,50995
2011,6475,0.25,36579
2012,12493,0.4,51490
2013,14225,0.34,67572
2014,12074,0.65,30278
2015,13441,0.41,44301
2016,11618,0.49,37313
2017,4473,0.34,40200
2018,5055,0.28,44655
