"Año" "Biomasa" "R_R0" "Fcr" "F_Fmrs" "B_Brms" "B_B0" "SPRdin"
1993 100716 1 0 0 2.5 1 1
1994 100625 0.62 0 0 2.5 1 1
1995 97317.7 0.74 0.05 0.17 2.42 0.97 0.97
1996 94504.3 0.83 0 0 2.35 0.94 0.96
1997 92132 1.43 0 0 2.29 0.91 0.97
1998 85967.9 2.8 0.1 0.33 2.13 0.85 0.92
1999 83871.7 1.28 0.1 0.32 2.08 0.83 0.87
2000 89543.2 1.42 0.11 0.36 2.22 0.89 0.84
2001 95779.1 2.5 0.13 0.43 2.38 0.95 0.82
2002 100443 1.73 0.11 0.38 2.49 1 0.79
2003 84483.3 0.85 0.62 2.05 2.1 0.84 0.62
2004 70373.2 0.8 0.64 2.12 1.75 0.7 0.48
2005 57228.5 0.92 0.65 2.16 1.42 0.57 0.38
2006 46170.4 0.8 0.54 1.79 1.15 0.46 0.31
2007 37256.3 0.64 0.61 2.04 0.92 0.37 0.26
2008 29815.7 0.92 0.77 2.56 0.74 0.3 0.22
2009 24689.9 3.05 0.84 2.78 0.61 0.25 0.2
2010 24420.3 0.6 0.97 3.21 0.61 0.24 0.2
2011 35979 0.49 0.5 1.67 0.89 0.36 0.3
2012 43819 0.95 0.6 1.99 1.09 0.44 0.35
2013 42355.3 0.54 0.41 1.35 1.05 0.42 0.35
2014 38509.9 0.69 0.37 1.23 0.96 0.38 0.33
2015 33165 0.9 0.52 1.72 0.82 0.33 0.3
2016 28761.9 0.34 0.52 1.74 0.71 0.29 0.28
2017 30057.7 0.84 0.21 0.71 0.75 0.3 0.31
2018 31912.4 0.71 0.21 0.71 0.79 0.32 0.35
