"","Año","CPUEobs","CPUEpred","Capturas","Biomasa","F","Produccion","B_Bmsy","F_Fmsy"
"1",1,2.54,2.49,0,2960,0,0,2,0
"2",2,2.65,2.49,96.0605627513175,2960,0.03,0,2,0.15
"3",3,3.04,2.41,78.2887918510093,2864,0.03,40,1.94,0.13
"4",4,4.39,2.38,540.733627531545,2826,0.19,56,1.91,0.88
"5",5,2.03,1.97,634.39362845454,2340,0.27,213,1.58,1.25
"6",6,2.28,1.61,768.76759962807,1919,0.4,293,1.3,1.84
"7",7,0.53,1.21,555.719927618899,1443,0.39,321,0.98,1.77
"8",8,0.71,1.02,782.533612387094,1209,0.65,311,0.82,2.98
"9",9,1.04,0.62,390.326893526947,737,0.53,240,0.5,2.44
"10",10,0.52,0.49,136.610064371012,587,0.23,204,0.4,1.07
"11",11,0.42,0.55,202.644427668663,654,0.31,221,0.44,1.43
"12",12,0.45,0.57,156.388627654014,673,0.23,226,0.45,1.07
"13",13,0.63,0.63,247.300688188514,743,0.33,242,0.5,1.53
"14",14,0.92,0.62,209.619725831206,737,0.28,240,0.5,1.31
"15",15,0.58,0.65,228.503864728095,768,0.3,247,0.52,1.37
"16",16,0.86,0.66,310.03153028023,787,0.39,251,0.53,1.81
"17",17,0.25,0.61,474.310989587662,727,0.65,238,0.49,3
"18",18,0.24,0.41,151.993338108912,492,0.31,178,0.33,1.42
"19",19,0.72,0.44,169.468316153994,518,0.33,186,0.35,1.51
"20",20,0.53,0.45,176.345530929874,534,0.33,190,0.36,1.52
