"","Yrs","Catch","CPUE","Bcru"
"1",1995,875.526258336657,1,0
"2",1996,9024.69185291864,0.872867764916553,0
"3",1997,68583.7169832139,0.876680574444651,0
"4",1998,148134.049347552,0.782825777473681,0
"5",1999,261454.034121594,0.612006863395239,0
"6",2000,102189.185169832,0.202294476555749,0
"7",2001,144474.65211471,0.355353542892894,0
"8",2002,180895.307970629,0.29116689845551,0
"9",2003,207607.042284726,0.687414163771084,0
"10",2004,174980.404836269,0.433082490795447,0
"11",2005,103795.466343729,0.240049355267535,127177.073646985
"12",2006,73918.4665052144,0.203771509660169,145397.386994898
"13",2007,106524.461515696,0.278636843571072,135635.593236417
"14",2008,119539.832334791,0.263611154417249,143437.585942568
"15",2009,86066.5538261863,0.260427846742733,175554.970369218
"16",2010,132277.036218419,0.201223743911636,125275.367142606
"17",2011,46459.8093158359,0.122196641543739,146497.946107344
"18",2012,97456.3985781909,0.287193523399151,207039.410938435
"19",2013,194338.353401013,0.528986702191381,162519.460187479
"20",2014,97881.2027338967,0.30373136732096,166844.796225042
